Estructura,N,Trial,Preprocesamiento_ns,TiempoBatch_s,Throughput,Memoria_Bytes
Naive,1024,1,413,2.510814,1991386.000973,0
Full_Precalc,1024,1,7365428,0.024370,205170501.816272,4202496
Block_Decomp,1024,1,7694,1.111620,4497939.947552,128
Sparse_Table,1024,1,124314,0.120194,41599345.059911,53248
Segment_Tree,1024,1,38657,1.516629,3296784.475130,16388
Hybrid_1,1024,1,15431,0.548388,9117624.842390,3708
Hybrid_2,1024,1,62479,0.291312,17163747.149320,29116
Hybrid_3,1024,1,61869,0.947370,5277766.324145,15220
Fischer_Heun,1024,1,38133,0.193200,25879900.306069,17512
Naive,1024,2,241,2.215623,2256701.504964,0
Full_Precalc,1024,2,5052115,0.021834,229003861.142501,4202496
Block_Decomp,1024,2,9240,0.712580,7016754.191670,128
Sparse_Table,1024,2,74163,0.106675,46871462.522839,53248
Segment_Tree,1024,2,35379,1.313754,3805886.223214,16388
Hybrid_1,1024,2,17247,0.550476,9083055.814793,3708
Hybrid_2,1024,2,59296,0.311357,16058740.663665,29116
Hybrid_3,1024,2,66667,0.899485,5558734.280696,15220
Fischer_Heun,1024,2,35816,0.187185,26711561.036609,17437
Naive,1024,3,250,2.203993,2268609.688396,0
Full_Precalc,1024,3,4081673,0.018390,271893045.541433,4202496
Block_Decomp,1024,3,8077,0.710225,7040019.237162,128
Sparse_Table,1024,3,75166,0.102177,48934918.290969,53248
Segment_Tree,1024,3,40042,1.301229,3842521.315672,16388
Hybrid_1,1024,3,17896,0.544002,9191139.858088,3708
Hybrid_2,1024,3,57652,0.307086,16282077.377629,29116
Hybrid_3,1024,3,62191,0.891935,5605787.937478,15220
Fischer_Heun,1024,3,35076,0.179570,27844335.485105,17537
Naive,1024,4,609,2.247473,2224721.045710,0
Full_Precalc,1024,4,4024455,0.019797,252563940.728901,4202496
Block_Decomp,1024,4,6742,0.700434,7138435.748721,128
Sparse_Table,1024,4,82278,0.094273,53037221.012549,53248
Segment_Tree,1024,4,37868,1.287206,3884381.813480,16388
Hybrid_1,1024,4,17498,0.544117,9189195.219288,3708
Hybrid_2,1024,4,57629,0.304897,16398970.473946,29116
Hybrid_3,1024,4,64677,0.869422,5750946.638597,15220
Fischer_Heun,1024,4,37494,0.174050,28727446.347601,17537
Naive,1024,5,104,2.147479,2328311.452069,0
Full_Precalc,1024,5,4260961,0.019261,259591800.201121,4202496
Block_Decomp,1024,5,7620,0.718646,6957523.690302,128
Sparse_Table,1024,5,89311,0.101672,49177717.096409,53248
Segment_Tree,1024,5,40839,1.286450,3886663.345295,16388
Hybrid_1,1024,5,18592,0.538559,9284033.117082,3708
Hybrid_2,1024,5,56641,0.309905,16133975.708222,29116
Hybrid_3,1024,5,71263,0.874486,5717643.009710,15220
Fischer_Heun,1024,5,38058,0.189829,26339490.024066,17562
Naive,1024,6,357,2.205764,2266788.549469,0
Full_Precalc,1024,6,4182555,0.021361,234068074.579893,4202496
Block_Decomp,1024,6,7568,0.762714,6555540.474753,128
Sparse_Table,1024,6,101904,0.117737,42467500.747067,53248
Segment_Tree,1024,6,53037,1.319506,3789298.132649,16388
Hybrid_1,1024,6,19427,0.537156,9308284.303404,3708
Hybrid_2,1024,6,60220,0.308393,16213053.110901,29116
Hybrid_3,1024,6,65813,0.880192,5680577.059648,15220
Fischer_Heun,1024,6,35901,0.219612,22767380.780136,17537
Naive,1024,7,482,2.244261,2227904.878796,0
Full_Precalc,1024,7,4339764,0.021126,236675321.409820,4202496
Block_Decomp,1024,7,8403,0.704022,7102048.750446,128
Sparse_Table,1024,7,99484,0.092819,53868526.190953,53248
Segment_Tree,1024,7,41683,1.281342,3902157.395983,16388
Hybrid_1,1024,7,18440,0.558804,8947673.785380,3708
Hybrid_2,1024,7,61782,0.295750,16906156.747224,29116
Hybrid_3,1024,7,65157,0.860817,5808432.957823,15220
Fischer_Heun,1024,7,36823,0.193634,25821925.176665,17462
Naive,1024,8,346,2.388013,2093791.334241,0
Full_Precalc,1024,8,5069782,0.023197,215546591.020734,4202496
Block_Decomp,1024,8,8273,0.826873,6046877.420678,128
Sparse_Table,1024,8,84681,0.098456,50784295.391364,53248
Segment_Tree,1024,8,36980,1.295137,3860595.281833,16388
Hybrid_1,1024,8,23322,0.602600,8297373.828910,3708
Hybrid_2,1024,8,65415,0.290615,17204901.182222,29116
Hybrid_3,1024,8,68125,0.856338,5838813.540570,15220
Fischer_Heun,1024,8,37867,0.170873,29261435.115732,17487
Naive,1024,9,212,2.175082,2298764.215161,0
Full_Precalc,1024,9,4162665,0.018789,266115573.248338,4202496
Block_Decomp,1024,9,6968,0.683430,7316043.335921,128
Sparse_Table,1024,9,64057,0.106892,46776311.775943,53248
Segment_Tree,1024,9,38236,1.299868,3846545.480703,16388
Hybrid_1,1024,9,18581,0.539733,9263836.314919,3708
